datetime,equip_unit,vel,temp,rh
2023-05-22T15:35:00Z,T,0.22,31.4,65.2
2023-05-22T15:36:00Z,T,0.27,31.5,64.9
2023-05-22T15:37:00Z,T,0.25,31.4,64.9
2023-05-22T15:38:00Z,T,0.19,31.4,65.3
2023-05-22T15:39:00Z,T,0.17,31.5,65.4
2023-05-22T15:40:00Z,T,0.15,31.5,65.5
2023-05-22T15:41:00Z,T,0.29,31.5,65.7
2023-05-22T15:42:00Z,T,0.41,31.5,65.6
2023-05-24T11:15:00Z,G,0.13,30.4,75.6
2023-05-24T11:16:00Z,G,0.19,30.5,75
2023-05-24T11:17:00Z,G,0.31,30.4,74.7
2023-05-24T11:18:00Z,G,0.23,30.2,75.3
2023-05-24T11:19:00Z,G,0.21,30.2,75.6
2023-05-24T11:20:00Z,G,0.21,30.2,75.6
2023-05-24T11:21:00Z,G,0.21,30.2,75.8
2023-05-24T11:22:00Z,G,0.22,30.2,75.9
2023-05-24T11:23:00Z,G,0.15,30.3,75.5
2023-05-24T11:24:00Z,G,0.17,30.4,74.7
2023-05-24T11:25:00Z,G,0.27,30.4,74.3
2023-05-24T11:26:00Z,G,0.25,30.4,74.5
2023-05-24T11:27:00Z,G,0.21,30.4,74.6
2023-05-24T11:28:00Z,G,0.19,30.4,74.8
2023-05-24T11:29:00Z,G,0.32,30.3,74.8
2023-05-24T11:30:00Z,G,0.21,30.3,75.3
2023-05-24T11:31:00Z,G,0.2,30.4,75
2023-05-24T11:32:00Z,G,0.25,30.4,74.8
2023-05-24T11:33:00Z,G,0.21,30.4,74.5
2023-05-24T11:34:00Z,G,0.13,30.5,74.6
2023-05-24T11:35:00Z,G,0.18,30.5,74.3
2023-05-24T11:36:00Z,G,0.18,30.5,74.3
2023-05-24T11:37:00Z,G,0.14,30.6,74.2
2023-05-24T11:38:00Z,G,0.21,30.7,73.5
2023-05-24T11:39:00Z,G,0.21,30.7,72.8
2023-05-24T11:40:00Z,G,0.19,30.6,72.3
2023-05-24T11:41:00Z,G,0.27,30.6,73.2
2023-05-24T11:42:00Z,G,0.31,30.6,73.3
2023-05-24T11:43:00Z,G,0.22,30.6,72.8
2023-05-24T11:44:00Z,G,0.17,30.7,72
2023-05-24T11:45:00Z,G,0.15,30.8,72
2023-05-24T11:46:00Z,G,0.24,30.8,72.4
2023-05-24T11:47:00Z,G,0.24,30.9,71.8
2023-05-24T11:48:00Z,G,0.18,30.9,70.7
2023-05-24T11:49:00Z,G,0.2,31,70.7
2023-05-24T11:50:00Z,G,0.38,30.9,69.6
2023-05-24T11:51:00Z,G,0.3,30.8,70.7
2023-05-24T11:52:00Z,G,0.19,30.8,71
2023-05-24T11:53:00Z,G,0.16,31,70.6
2023-05-24T11:54:00Z,G,0.27,31,70.3
2023-05-24T11:55:00Z,G,0.25,30.9,70.9
2023-05-24T11:56:00Z,G,0.28,31,70
2023-05-24T11:57:00Z,G,0.38,30.9,70
2023-05-24T11:58:00Z,G,0.36,30.8,70.8
2023-05-24T11:59:00Z,G,0.24,30.8,71.4
2023-05-24T12:00:00Z,G,0.25,30.9,71.2
2023-05-24T12:01:00Z,G,0.22,31,71.1
2023-05-24T12:02:00Z,G,0.17,31.1,70.8
2023-05-24T12:03:00Z,G,0.25,31.2,70.1
